Sr_no,Abbrevation,Company Name,Reports,Industrial_vertical,Industry_sector,Date,Value,Start_year
114,CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,3/1/01,723254,
115,CSCO,Cisco Systems,reports,Information Technology,Communications Equipment,12/1/93,858877,
116,C,Citigroup Inc.,reports,Financials,Diversified Banks,5/31/88,831001,
117,CFG,Citizens Financial Group,reports,Financials,Regional Banks,1/29/16,759944,
118,CTXS,Citrix Systems,reports,Information Technology,Internet Software & Services,12/1/99,877890,
119,CLX,The Clorox Company,reports,Consumer Staples,Household Products,3/31/69,21076,1913
120,CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,8/11/06,1156375,
121,CMS,CMS Energy,reports,Utilities,Multi-Utilities,5/3/99,811156,
122,KO,Coca-Cola Company,reports,Consumer Staples,Soft Drinks,,21344,1886
123,CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,11/17/06,1058290,
124,CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,,21665,1806
125,CMCSA,Comcast Corp.,reports,Communication Services,Cable & Satellite,9/18/15,1166691,
126,CMA,Comerica Inc.,reports,Financials,Diversified Banks,12/1/95,28412,
127,CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,8/31/83,23217,
128,CXO,Concho Resources,reports,Energy,Oil & Gas Exploration & Production,2/22/16,1358071,
129,COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,,1163165,2002
130,ED,Consolidated Edison,reports,Utilities,Electric Utilities,,1047862,1823
131,STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,7/1/05,16918,
132,COO,The Cooper Companies,reports,Health Care,Health Care Supplies,9/23/16,711404,
133,CPRT,Copart Inc,reports,Industrials,Diversified Support Services,7/2/18,900075,
134,GLW,Corning Inc.,reports,Information Technology,Electronic Components,,24741,1851
135,COST,Costco Wholesale Corp.,reports,Consumer Staples,Hypermarkets & Super Centers,10/1/93,909832,
136,COTY,"Coty, Inc",reports,Consumer Staples,Personal Products,10/3/16,1024305,
137,CCI,Crown Castle International Corp.,reports,Real Estate,Specialized REITs,3/14/12,1051470,
138,CSX,CSX Corp.,reports,Industrials,Railroads,9/30/67,277948,1980
139,CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,3/31/65,26172,1919
140,CVS,CVS Health,reports,Health Care,Health Care Services,,64803,1996
141,DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,,882184,1978
142,DHR,Danaher Corp.,reports,Health Care,Health Care Equipment,,313616,1969
143,DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,,940944,1938
144,DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,7/31/08,927066,
145,DE,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,,315189,1837
146,DAL,Delta Air Lines Inc.,reports,Industrials,Airlines,9/11/13,27904,
147,XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,11/14/08,818479,
148,DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,8/30/00,1090012,
149,FANG,Diamondback Energy,reports,Energy,Oil & Gas Exploration & Production,12/3/18,1539838,2007
